[2026-04-19 14:52:49] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:52:51] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:56:06] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 14:56:59] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:neutral
[2026-04-19 14:58:43] ALERT | EAR=0.180<0.22 | EAR:0.180 | Model:Awake | Emotion:sad
[2026-04-19 14:59:46] ALERT | EAR=0.159<0.22 | EAR:0.159 | Model:Awake | Emotion:sad
[2026-04-19 14:59:49] ALERT | EAR=0.193<0.22 | EAR:0.193 | Model:Awake | Emotion:sad
[2026-04-19 14:59:56] ALERT | EAR=0.197<0.22 | EAR:0.197 | Model:Awake | Emotion:sad
[2026-04-19 15:00:11] ALERT | Model=Drowsy | EAR:1.000 | Model:Drowsy | Emotion:sad
[2026-04-19 15:00:14] ALERT | Model=Drowsy | EAR:0.291 | Model:Drowsy | Emotion:sad
[2026-04-19 15:02:44] ALERT | Reason: Model=Drowsy | EAR: 0.291 | Model: Drowsy | Emotion: neutral
[2026-04-19 15:02:50] ALERT | Reason: Model=Drowsy | EAR: 0.303 | Model: Drowsy | Emotion: sad
[2026-04-19 15:04:21] ALERT | Model=Drowsy | EAR:0.328 | Model:Drowsy | Emotion:neutral
[2026-04-19 15:04:23] ALERT | Model=Drowsy | EAR:0.320 | Model:Drowsy | Emotion:sad
[2026-04-19 15:05:07] ALERT | EAR=0.124<0.22 | EAR:0.124 | Model:Awake | Emotion:sad
[2026-04-19 15:05:09] ALERT | EAR=0.144<0.22, Model=Drowsy | EAR:0.144 | Model:Drowsy | Emotion:sad
[2026-04-19 15:05:11] ALERT | Model=Drowsy | EAR:0.298 | Model:Drowsy | Emotion:sad
[2026-04-19 15:05:17] ALERT | EAR=0.171<0.22 | EAR:0.171 | Model:Awake | Emotion:angry
[2026-04-19 15:05:34] ALERT | EAR=0.219<0.22 | EAR:0.219 | Model:Awake | Emotion:sad
